Time,Steps,TimePerStep
4082519, 2672385, 1.52767
3457993, 2672389, 1.29397
3354028, 2672385, 1.25507
4094190, 2672385, 1.53204
3473108, 2672385, 1.29963
3607826, 2672385, 1.35004
3383849, 2672387, 1.26623
3650625, 2672387, 1.36605
4370483, 2672385, 1.63542
3686605, 2672385, 1.37952
3769585, 2672385, 1.41057
3969886, 2672385, 1.48552
3704637, 2672385, 1.38627
3740158, 2672387, 1.39956
3861566, 2672385, 1.44499
4371983, 2672387, 1.63598
3418666, 2672385, 1.27926
4302911, 2672391, 1.61014
4896111, 2672385, 1.83211
2707647, 2672387, 1.01319
3785705, 2672385, 1.4166
3935667, 2672385, 1.47272
4226805, 2672387, 1.58166
3666818, 2672387, 1.37211
2561163, 2672385, 0.958381
3587307, 2672385, 1.34236
3126525, 2672387, 1.16994
3770511, 2672385, 1.41092
3274871, 2672385, 1.22545
3791123, 2672387, 1.41863
3335461, 2672387, 1.24812
3352348, 2672387, 1.25444
4143087, 2672389, 1.55033
3783792, 2672385, 1.41589
3448943, 2672393, 1.29058
3866807, 2672387, 1.44695
2608763, 2672385, 0.976193
3919302, 2672393, 1.46659
3783168, 2672387, 1.41565
3134545, 2672391, 1.17294
2414311, 2672385, 0.903429
3553621, 2672391, 1.32975
3700040, 2672385, 1.38455
3869545, 2672393, 1.44797
3612517, 2672385, 1.3518
4166777, 2672389, 1.5592
3872823, 2672391, 1.4492
3971348, 2672385, 1.48607
4344684, 2672391, 1.62577
3715031, 2672387, 1.39015
4601964, 2672395, 1.72204
4423613, 2672385, 1.65531
4023724, 2672391, 1.50566
2992765, 2672387, 1.11988
3796719, 2672389, 1.42072
3846642, 2672385, 1.4394
3798426, 2672401, 1.42135
3881301, 2672393, 1.45237
3941954, 2672389, 1.47507
4019012, 2672387, 1.5039
2366675, 2672387, 0.885603
3868768, 2672385, 1.44768
2579039, 2672385, 0.96507
2176231, 2672389, 0.814339
3844875, 2672385, 1.43874
3398316, 2672385, 1.27164
3910064, 2672389, 1.46313
3843858, 2672385, 1.43836
4063375, 2672387, 1.5205
3777885, 2672385, 1.41368
2416556, 2672385, 0.904269
3913213, 2672385, 1.46431
3979923, 2672389, 1.48928
3662040, 2672385, 1.37033
3711654, 2672387, 1.38889
3583471, 2672387, 1.34093
4011080, 2672387, 1.50094
3468277, 2672385, 1.29782
4493442, 2672393, 1.68143
3911959, 2672387, 1.46384
3622933, 2672389, 1.35569
4484816, 2672385, 1.67821
4434029, 2672389, 1.6592
3978959, 2672389, 1.48891
3486715, 2672385, 1.30472
3622455, 2672385, 1.35551
3205908, 2672387, 1.19964
3750024, 2672387, 1.40325
3446199, 2672385, 1.28956
3672646, 2672385, 1.3743
4224494, 2672385, 1.5808
4487723, 2672389, 1.67929
3476555, 2672389, 1.30092
3304021, 2672387, 1.23636
4250918, 2672385, 1.59068
3548703, 2672385, 1.32792
4040071, 2672389, 1.51178
3783055, 2672385, 1.41561
4365646, 2672391, 1.63361
4165206, 2672385, 1.55861
3110824, 2672385, 1.16406
3893954, 2672385, 1.45711
4209158, 2672387, 1.57506
3487777, 2672385, 1.30512
3454194, 2672387, 1.29255
3833036, 2672387, 1.43431
3802373, 2672391, 1.42284
3371992, 2672385, 1.26179
2513158, 2672393, 0.940415
3898981, 2672385, 1.45899
3572022, 2672389, 1.33664
3824162, 2672385, 1.43099
3706300, 2672387, 1.38689
3920199, 2672385, 1.46693
3626785, 2672389, 1.35713
3418554, 2672389, 1.27921
3908418, 2672387, 1.46252
3847067, 2672385, 1.43956
3238213, 2672387, 1.21173
2433978, 2672385, 0.910789
4508117, 2672387, 1.68693
3846575, 2672389, 1.43938
3985567, 2672387, 1.49139
4629258, 2672385, 1.73226
3766553, 2672391, 1.40943
3861946, 2672387, 1.44513
3924116, 2672387, 1.46839
3577204, 2672387, 1.33858
3235245, 2672389, 1.21062
4230396, 2672385, 1.583
4082087, 2672389, 1.5275
4204870, 2672387, 1.57345
4021783, 2672391, 1.50494
3351447, 2672385, 1.2541
3443188, 2672385, 1.28843
3592444, 2672389, 1.34428
3560747, 2672387, 1.33242
4112991, 2672387, 1.53907
3388222, 2672389, 1.26786
3922395, 2672385, 1.46775
3840584, 2672385, 1.43714
3632775, 2672389, 1.35937
3782869, 2672387, 1.41554
3398590, 2672387, 1.27174
4282841, 2672395, 1.60262
4173347, 2672387, 1.56166
3743325, 2672389, 1.40074
4033957, 2672387, 1.5095
3568069, 2672385, 1.33516
2920911, 2672385, 1.093
3583329, 2672385, 1.34087
4404645, 2672391, 1.6482
3720701, 2672391, 1.39227
4044252, 2672403, 1.51334
3924942, 2672385, 1.4687
4264806, 2672385, 1.59588
3836350, 2672391, 1.43555
3814540, 2672387, 1.42739
3979396, 2672387, 1.48908
3401330, 2672389, 1.27277
3774162, 2672393, 1.41228
4192391, 2672389, 1.56878
3174512, 2672387, 1.18789
3824668, 2672385, 1.43118
3946673, 2672399, 1.47683
3850417, 2672389, 1.44081
4354213, 2672385, 1.62934
4293315, 2672387, 1.60655
3653651, 2672387, 1.36719
3317285, 2672391, 1.24132
4219473, 2672389, 1.57891
3972241, 2672385, 1.4864
3367419, 2672385, 1.26008
4584032, 2672389, 1.71533
3390781, 2672391, 1.26882
3628749, 2672385, 1.35787
4304916, 2672385, 1.61089
3680246, 2672389, 1.37714
3904623, 2672389, 1.4611
4709663, 2672385, 1.76234
3790078, 2672385, 1.41824
2758113, 2672389, 1.03208
3466082, 2672389, 1.297
3507700, 2672389, 1.31257
3617625, 2672389, 1.3537
3708701, 2672387, 1.38779
3320631, 2672385, 1.24257
4339098, 2672385, 1.62368
4187155, 2672385, 1.56682
4115924, 2672385, 1.54017
3659359, 2672385, 1.36932
3163993, 2672387, 1.18396
4186556, 2672385, 1.5666
3907217, 2672393, 1.46207
3924664, 2672385, 1.4686
3300624, 2672385, 1.23509
2402638, 2672385, 0.899061
3979431, 2672387, 1.48909
3392527, 2672385, 1.26948
3850014, 2672385, 1.44067
4074498, 2672387, 1.52467
4248052, 2672387, 1.58961
4042670, 2672389, 1.51276
3617040, 2672387, 1.35349
3643786, 2672389, 1.36349
3587810, 2672385, 1.34255
3505736, 2672389, 1.31184
3340337, 2672385, 1.24995
3513950, 2672389, 1.31491
3057168, 2672393, 1.14398
4432505, 2672391, 1.65863
3364996, 2672389, 1.25917
4250246, 2672387, 1.59043
3533837, 2672387, 1.32235
3578766, 2672387, 1.33916
3938681, 2672391, 1.47384
4006814, 2672391, 1.49934
3560998, 2672385, 1.33252
3882806, 2672389, 1.45293
3685365, 2672389, 1.37905
