Time,Steps,TimePerStep
4931948, 2672387, 1.84552
4951901, 2672429, 1.85296
4941981, 2672385, 1.84928
4924350, 2672557, 1.84256
4937894, 2672385, 1.84775
4957168, 2672385, 1.85496
4933340, 2672479, 1.84598
4904775, 2672461, 1.8353
4910294, 2672385, 1.83742
4901129, 2672645, 1.83381
4904840, 2672385, 1.83538
4917798, 2672385, 1.84023
4909071, 2672385, 1.83696
4904605, 2672417, 1.83527
4920337, 2672385, 1.84118
4957859, 2672385, 1.85522
4944678, 2672519, 1.85019
4960352, 2672387, 1.85615
4949741, 2672385, 1.85218
4934380, 2672385, 1.84643
4911753, 2672385, 1.83797
4911389, 2672385, 1.83783
4926589, 2672385, 1.84352
4940599, 2672385, 1.84876
4937350, 2672403, 1.84753
4934946, 2672517, 1.84655
4911889, 2672385, 1.83802
4927417, 2672411, 1.84381
4849791, 2672385, 1.81478
4870780, 2672385, 1.82263
4925416, 2672385, 1.84308
4839658, 2672391, 1.81098
4852479, 2672391, 1.81578
4825480, 2672455, 1.80564
4854516, 2672385, 1.81655
4823456, 2672385, 1.80493
4853073, 2672385, 1.81601
4952238, 2672397, 1.85311
4952677, 2672397, 1.85327
5158124, 2672423, 1.93013
5037691, 2672385, 1.88509
4987713, 2672409, 1.86637
4904764, 2672389, 1.83535
4962891, 2672385, 1.8571
4935588, 2672385, 1.84689
4928396, 2672387, 1.84419
4934144, 2672459, 1.84629
4934532, 2672385, 1.84649
4923770, 2672385, 1.84246
4921846, 2672385, 1.84174
4921436, 2672385, 1.84159
4921816, 2672389, 1.84173
4930980, 2672385, 1.84516
4922921, 2672411, 1.84213
4938788, 2672385, 1.84808
4968899, 2672541, 1.85924
4947920, 2672397, 1.85149
4969313, 2672393, 1.8595
4951671, 2672395, 1.8529
4933876, 2672487, 1.84617
4954548, 2672391, 1.85398
4944585, 2672385, 1.85025
4949626, 2672385, 1.85214
4931069, 2672385, 1.84519
4878243, 2672385, 1.82543
4863044, 2672385, 1.81974
4877097, 2672403, 1.82499
4871600, 2672385, 1.82294
4949821, 2672385, 1.85221
4946499, 2672385, 1.85097
4941043, 2672539, 1.84882
4922918, 2672401, 1.84213
4910373, 2672405, 1.83744
4884045, 2672453, 1.82755
4897827, 2672385, 1.83276
4881364, 2672385, 1.82659
4846443, 2672495, 1.81345
4833260, 2672385, 1.80859
4850857, 2672385, 1.81518
4924791, 2672385, 1.84284
4966048, 2672385, 1.85828
4989016, 2672385, 1.86688
4961901, 2672405, 1.85672
4935791, 2672385, 1.84696
4952902, 2672385, 1.85336
4954548, 2672387, 1.85398
4951547, 2672385, 1.85286
4945458, 2672385, 1.85058
4959190, 2672385, 1.85572
4927715, 2672385, 1.84394
4924224, 2672385, 1.84263
4919440, 2672385, 1.84084
4939871, 2672385, 1.84849
