Time,Steps,TimePerStep
5869256, 2672385, 2.19626
5794379, 2672385, 2.16824
5820944, 2672385, 2.17818
5850047, 2672385, 2.18907
5849053, 2672385, 2.1887
5824841, 2672385, 2.17964
5842717, 2672385, 2.18633
5831689, 2672385, 2.1822
5715007, 2672385, 2.13854
5400444, 2672385, 2.02083
5349581, 2672385, 2.0018
5350036, 2672385, 2.00197
5369934, 2672385, 2.00942
5418678, 2672385, 2.02766
5408993, 2672385, 2.02403
5396000, 2672385, 2.01917
5405431, 2672385, 2.0227
5410461, 2672385, 2.02458
5431142, 2672385, 2.03232
5456169, 2672385, 2.04169
5509102, 2672385, 2.06149
5716782, 2672385, 2.13921
5671353, 2672385, 2.12221
5669735, 2672385, 2.1216
5763530, 2672385, 2.1567
5744450, 2672385, 2.14956
5725526, 2672385, 2.14248
5727867, 2672385, 2.14335
5747812, 2672385, 2.15082
5633875, 2672385, 2.10818
5604715, 2672385, 2.09727
5551681, 2672385, 2.07743
5434766, 2672385, 2.03368
5487307, 2672385, 2.05334
5504856, 2672385, 2.0599
5301070, 2672385, 1.98365
5495425, 2672385, 2.05637
5472106, 2672385, 2.04765
5562093, 2672385, 2.08132
5696746, 2672385, 2.13171
5680518, 2672385, 2.12564
5578231, 2672385, 2.08736
5670180, 2672385, 2.12177
5653159, 2672385, 2.1154
5644982, 2672385, 2.11234
5641831, 2672385, 2.11116
5701910, 2672385, 2.13364
5835842, 2672385, 2.18376
5284286, 2672385, 1.97737
5300438, 2672385, 1.98341
5298787, 2672385, 1.98279
5305282, 2672385, 1.98522
5616210, 2672385, 2.10157
5605639, 2672385, 2.09762
5575017, 2672385, 2.08616
5419675, 2672385, 2.02803
5324346, 2672385, 1.99236
5222938, 2672385, 1.95441
5221938, 2672385, 1.95404
5291120, 2672385, 1.97992
5243265, 2672385, 1.96202
5249641, 2672385, 1.9644
5247598, 2672385, 1.96364
5465245, 2672385, 2.04508
5375224, 2672385, 2.0114
5377716, 2672385, 2.01233
5377733, 2672385, 2.01233
5407186, 2672385, 2.02336
5406366, 2672385, 2.02305
5425637, 2672385, 2.03026
5429288, 2672385, 2.03163
5845639, 2672385, 2.18742
5830264, 2672385, 2.18167
5812226, 2672385, 2.17492
5287015, 2672385, 1.97839
5123931, 2672385, 1.91736
5129976, 2672385, 1.91962
5123007, 2672385, 1.91702
5123038, 2672385, 1.91703
5131375, 2672385, 1.92015
5145552, 2672385, 1.92545
5127824, 2672385, 1.91882
5140497, 2672385, 1.92356
5000433, 2672385, 1.87115
5936180, 2672385, 2.2213
5394840, 2672385, 2.01874
5182040, 2672385, 1.93911
5252827, 2672385, 1.9656
5247601, 2672385, 1.96364
5262901, 2672385, 1.96936
5206810, 2672385, 1.94838
5207579, 2672385, 1.94866
5211685, 2672385, 1.9502
5156653, 2672385, 1.92961
5271275, 2672385, 1.9725
5233466, 2672385, 1.95835
5234053, 2672385, 1.95857
5270877, 2672385, 1.97235
5253071, 2672385, 1.96569
5262467, 2672385, 1.9692
5270771, 2672385, 1.97231
5269732, 2672385, 1.97192
5292371, 2672385, 1.98039
5275491, 2672385, 1.97408
5252545, 2672385, 1.96549
5280361, 2672385, 1.9759
5299083, 2672385, 1.9829
5213076, 2672385, 1.95072
5206124, 2672385, 1.94812
5061123, 2672385, 1.89386
5347415, 2672385, 2.00099
5364596, 2672385, 2.00742
5369184, 2672385, 2.00914
5378211, 2672385, 2.01251
5425411, 2672385, 2.03018
5383973, 2672385, 2.01467
5463579, 2672385, 2.04446
5368009, 2672385, 2.0087
5584033, 2672385, 2.08953
5694749, 2672385, 2.13096
5670333, 2672385, 2.12182
5617609, 2672385, 2.1021
5645260, 2672385, 2.11244
5632075, 2672385, 2.10751
5616711, 2672385, 2.10176
5637401, 2672385, 2.1095
5650452, 2672385, 2.11439
5677985, 2672385, 2.12469
5657879, 2672385, 2.11716
5722430, 2672385, 2.14132
5683537, 2672385, 2.12677
5663402, 2672385, 2.11923
5568453, 2672385, 2.0837
5552546, 2672385, 2.07775
5558472, 2672385, 2.07997
5597194, 2672385, 2.09446
5592224, 2672385, 2.0926
5624230, 2672385, 2.10457
5674452, 2672385, 2.12337
5701835, 2672385, 2.13361
5789047, 2672385, 2.16625
5744492, 2672385, 2.14958
5633856, 2672385, 2.10818
5601818, 2672385, 2.09619
5622797, 2672385, 2.10404
5591775, 2672385, 2.09243
5489857, 2672385, 2.05429
5482002, 2672385, 2.05135
5495323, 2672385, 2.05634
5511766, 2672385, 2.06249
5496412, 2672385, 2.05674
5493657, 2672385, 2.05571
5491637, 2672385, 2.05496
5477554, 2672385, 2.04969
5501765, 2672385, 2.05875
5476535, 2672385, 2.04931
5502590, 2672385, 2.05906
5494876, 2672385, 2.05617
5471783, 2672385, 2.04753
5519368, 2672385, 2.06533
5497779, 2672385, 2.05726
5455808, 2672385, 2.04155
5423962, 2672385, 2.02963
5402075, 2672385, 2.02144
5374632, 2672385, 2.01117
5358674, 2672385, 2.0052
5382503, 2672385, 2.01412
5401576, 2672385, 2.02126
5371180, 2672385, 2.00988
5340893, 2672385, 1.99855
5368278, 2672385, 2.0088
5407733, 2672385, 2.02356
5425500, 2672385, 2.03021
5949548, 2672385, 2.22631
5970563, 2672385, 2.23417
5306382, 2672385, 1.98564
5405361, 2672385, 2.02267
5396582, 2672385, 2.01939
5338572, 2672385, 1.99768
5322365, 2672385, 1.99162
5295521, 2672385, 1.98157
5438193, 2672385, 2.03496
5937094, 2672385, 2.22165
5738970, 2672385, 2.14751
5631983, 2672385, 2.10747
5695094, 2672385, 2.13109
5903930, 2672385, 2.20924
5946084, 2672385, 2.22501
5848967, 2672385, 2.18867
5849822, 2672385, 2.18899
5950201, 2672385, 2.22655
5974563, 2672385, 2.23567
6022982, 2672385, 2.25379
5850030, 2672385, 2.18907
5898068, 2672385, 2.20704
5849945, 2672385, 2.18904
5765851, 2672385, 2.15757
5767940, 2672385, 2.15835
5849502, 2672385, 2.18887
5875972, 2672385, 2.19877
5850772, 2672385, 2.18934
5860798, 2672385, 2.1931
5891294, 2672385, 2.20451
5813748, 2672385, 2.17549
5806559, 2672385, 2.1728
5810825, 2672385, 2.1744
5788288, 2672385, 2.16596
5788077, 2672385, 2.16588
5809053, 2672385, 2.17373
5811299, 2672385, 2.17457
5828933, 2672385, 2.18117
5810727, 2672385, 2.17436
5845595, 2672385, 2.18741
5759253, 2672385, 2.1551
5886258, 2672385, 2.20262
5461252, 2672385, 2.04359
5523155, 2672385, 2.06675
5678329, 2672385, 2.12482
5712997, 2672385, 2.13779
5705022, 2672385, 2.13481
5772862, 2672385, 2.16019
5741076, 2672385, 2.1483
5751060, 2672385, 2.15203
